20200117-17-47
2,1,1191.66,-32.7395,89.0223,2
2,1,1035.09,540.878,591.474,2
2,1,1301.15,640.84,641.396,3
2,1,937.752,516.318,616.398,2
1,1,785.749,-516.215,710.846,3
3,0,1260.59,94.7925,95.8003,2
8,0,857.419,-407.577,583.121,2
2,1,903.76,-415.014,556.457,2
3,1,1265.52,80.1254,80.6214,2
8,0,-898.496,-376.367,531.968,2
2,1,-978.962,-483.285,566.458,2
1,1,-880.705,606.178,722.83,3
2,1,-868.836,440.849,599.055,2
MIN,1557.32
PTS,23
FGM,7
FGA,10
3PM,3
3PA,3
FTM,0
FTA,0
REB,10
AST,5
STL,1
BLK,2
TOV,3
PLM,24
---All data saved. Voila!---
Heat vs Nets
