20191106-18-18
2,1,1079.62,-531.455,566.04,2
2,1,-1180.5,-85.3759,126.945,2
3,1,1283.53,34.145,35.3337,2
1,1,557.293,-141.823,731.04,3
1,1,1104.57,-419.844,452.909,2
3,1,-1192.7,124.698,149.103,2
2,1,-874.011,-9.20579,400.54,1
7,0,-1017.94,397.517,473.088,2
2,1,1277.1,5.85131,0,2
8,0,-1012.53,392.775,472.095,2
3,0,-1229.33,-124.934,132.831,2
2,1,1278.44,0.937223,0,2
2,1,-851.314,566.892,707.394,3
MIN,1887.84
PTS,21
FGM,7
FGA,10
3PM,2
3PA,2
FTM,1
FTA,1
REB,3
AST,11
STL,3
BLK,4
TOV,1
PLM,21
---All data saved. Voila!---
Suns vs Heat
