20190907-16-18
1,1,657.3,-304.701,688.266,3
8,0,1030.42,-541.555,593.995,2
2,1,726.447,-366.113,659.045,2
2,1,661.209,336.112,699.307,3
2,1,878.46,302.049,498.034,2
8,0,628.842,28.3092,646.223,2
3,1,1241.86,-69.8693,77.0937,2
1,1,1291.47,-44.1265,47.2966,2
1,1,1226.57,-5.86656,48.2324,2
8,0,722.981,-208.784,589.664,2
3,1,-1221.28,40.1552,66.6225,2
2,1,1263.16,-6.07288,0,2
MIN,1965.15
PTS,20
FGM,7
FGA,10
3PM,2
3PA,2
FTM,0
FTA,0
REB,7
AST,10
STL,1
BLK,11
TOV,5
PLM,12
---All data saved. Voila!---
Raptors vs Heat
