20190920-20-15
2,1,1234.63,-6.99062,40.421,2
3,1,1247.42,-144.003,146.517,2
3,1,1220.09,40.7134,67.9092,2
3,1,1248.8,60.2577,65.4879,2
2,1,-1235.61,-5.64187,39.2438,2
2,1,1270.54,6.90847,0,2
2,1,-1235.57,-5.22296,39.224,2
2,1,-1221.47,-17.6975,55.8544,2
8,0,-890.722,596.461,709.232,3
2,1,-1070.67,-46.2056,208.944,2
8,0,-1258.64,637.964,638.16,3
3,1,-1213.94,101.615,118.267,2
8,0,-959.429,-575.821,656.357,2
MIN,1918.43
PTS,20
FGM,10
FGA,11
3PM,0
3PA,2
FTM,0
FTA,0
REB,5
AST,8
STL,1
BLK,5
TOV,4
PLM,10
---All data saved. Voila!---
Heat vs Pacers
