20191220-16-48
3,0,1134.45,-96.1241,169.819,2
3,1,1287.31,-53.847,55.3629,2
2,1,1038.04,-641.857,684.008,3
2,1,873.861,8.91833,400.683,1
2,1,872.427,8.96524,402.118,1
2,1,1262.52,7.34062,0,2
3,1,-1223.92,34.1725,60.9968,2
8,0,-1257.01,-640.466,640.703,3
2,1,-1314,192.338,196.363,2
2,1,-1236.96,19.1052,42.0687,2
3,1,-1247.94,72.1146,76.8328,2
1,1,-1109.63,643.888,664.647,3
MIN,1822.5
PTS,20
FGM,6
FGA,7
3PM,2
3PA,3
FTM,2
FTA,2
REB,7
AST,7
STL,3
BLK,4
TOV,3
PLM,20
---All data saved. Voila!---
Heat vs Nuggets
