20191107-19-26
2,1,1234.69,-6.24534,40.2443,2
2,1,778.574,563.606,750.693,3
2,1,1171.94,-9.65258,102.956,2
8,0,1140.83,516.631,533.63,2
3,0,1146.34,166.724,210.256,2
1,1,710.096,-85.868,570.844,2
2,1,1157.26,641.118,651.741,3
2,1,1276.98,0.0851466,0,2
1,1,705.034,399.473,695.563,3
2,1,746.521,-466.234,704.328,3
2,1,1082.85,482.346,519.007,2
8,0,818.869,-599.384,752.868,3
MIN,1336.67
PTS,22
FGM,5
FGA,7
3PM,4
3PA,5
FTM,0
FTA,0
REB,7
AST,5
STL,0
BLK,2
TOV,6
PLM,22
---All data saved. Voila!---
Warriors vs Heat
