20191121-16-51
3,1,1258.57,79.4588,81.0297,2
2,1,1267.4,7.67449,0,2
3,1,1197.98,-73.2528,105.892,2
2,1,872.186,8.79814,402.355,1
2,1,1365.72,639.976,646.451,3
1,1,1225.83,375.984,379.114,2
3,1,-1284.94,-143.016,143.401,2
6,0,-950.943,-380.364,499.33,2
2,1,1270.76,-5.08896,0,2
2,1,1270.96,4.06293,0,2
1,0,-1189.01,17.8291,87.2756,2
2,1,-1285.79,-491.52,491.651,2
2,1,-951.757,623.362,701.932,3
MIN,1857.03
PTS,23
FGM,8
FGA,10
3PM,2
3PA,2
FTM,1
FTA,1
REB,7
AST,10
STL,3
BLK,6
TOV,3
PLM,28
---All data saved. Voila!---
Lakers vs Heat
