20191026-14-29
2,1,-1293.23,640.233,640.508,3
8,0,-792.778,500.919,694.927,3
8,0,-1251.34,-640.562,640.978,3
1,1,-809.525,-316.304,562.316,2
2,1,1268.43,-8.62117,0,2
2,1,1268.49,8.50764,0,2
2,1,892.186,-608.901,718.945,3
1,0,1102.29,-35.9483,175.871,2
2,1,1338.99,642.627,645.86,3
2,1,1269.32,-8.96542,0,2
2,1,1269.5,-5.73656,0,2
2,1,1130.98,-455.206,477.278,2
2,1,1233.06,605.191,606.605,2
MIN,1781.51
PTS,23
FGM,7
FGA,8
3PM,3
3PA,5
FTM,0
FTA,0
REB,5
AST,14
STL,1
BLK,4
TOV,3
PLM,44
---All data saved. Voila!---
Kings vs Heat
