20180711-15-40
8,0,960.981,-624.352,698.624,3
3,0,1218.54,-61.7099,83.2699,2
3,1,1212.98,76.0712,97.798,2
2,1,1225.57,-397.845,400.837,2
3,1,1237.43,72.3319,81.2519,2
2,1,1271.98,-0.518479,0,2
3,0,1249.15,66.9165,71.5373,2
3,1,1272.72,103.698,103.713,2
2,1,1272.05,-0.454512,0,2
8,0,693.768,396.366,703.059,3
3,1,1227.25,-34.8557,58.6689,2
2,1,1235.82,6.82839,39.2239,2
2,1,1272.1,-0.399457,0,2
MIN,1346
PTS,18
FGM,9
FGA,11
3PM,0
3PA,2
FTM,0
FTA,0
REB,7
AST,6
STL,2
BLK,0
TOV,0
PLM,15
---All data saved. Voila!---
BOS vs HEAT
