20180913-13-07
2,1,877.289,8.09544,397.238,1
2,1,878.724,9.89689,395.845,1
3,1,1140.65,73.0596,152.444,2
2,1,876.756,8.00569,397.769,1
2,1,1276.51,7.55791,0,2
2,1,930.857,373.206,507.282,2
2,1,1277.26,0.793786,0,2
2,1,1017.18,48.477,261.79,2
2,1,1278.09,-3.55876,0,2
3,1,-1294.48,-159.892,161.142,2
2,1,-1210.69,0.280141,63.756,2
6,0,-1265.89,-587.738,587.8,2
3,1,-1254.46,-75.4603,78.062,2
MIN,1838.33
PTS,21
FGM,9
FGA,10
3PM,0
3PA,0
FTM,3
FTA,3
REB,6
AST,10
STL,0
BLK,2
TOV,1
PLM,17
---All data saved. Voila!---
Trail Blazers vs Heat
