20190103-13-23
1,1,1336.69,-632.572,635.627,3
1,1,1184.59,-11.3546,90.5726,2
3,1,1225.28,79.4135,93.3987,2
2,1,1272.13,-6.34144,0,2
2,1,1272.78,-1.12094,0,2
3,1,1222.6,28.9467,59.376,2
2,1,-824.244,-517.175,685.675,3
1,1,-973.291,515.462,596.988,2
1,1,-1214.81,-28.3578,66.0307,2
8,0,-1353.28,431.472,438.616,2
2,1,1275.17,-1.87353,0,2
2,1,-1328.85,-697.162,699.282,3
MIN,1808
PTS,25
FGM,8
FGA,9
3PM,3
3PA,3
FTM,0
FTA,0
REB,2
AST,6
STL,2
BLK,4
TOV,6
PLM,27
---All data saved. Voila!---
Celtics vs Heat
