20190102-11-43
3,1,1248.19,-66.2094,71.2233,2
3,0,1243.5,159.951,162.917,2
2,1,1267.17,3.76385,0,2
2,1,1267.23,0.572832,0,2
2,1,1222.86,1.23267,51.5948,2
2,1,1292.89,641.83,642.095,3
2,1,1235.63,5.65399,39.224,2
2,1,605.836,138.913,682.888,3
3,0,1228.76,35.8472,58.0732,2
2,1,1241.11,-638.909,639.778,3
2,1,1268.99,-0.116276,0,2
3,0,-1273.77,39.2182,39.224,2
1,1,-880.949,564.927,688.463,3
2,1,1269.56,2.69204,0,2
2,1,-877.853,-8.45095,396.682,1
8,0,-816.079,-520.188,693.322,3
2,1,1269.85,-6.06372,0,2
8,0,-1264.48,-632.41,632.489,3
3,0,-1295.6,-150.821,152.297,2
1,1,-966.932,629.798,700.863,3
2,1,-1238.82,645.389,646.371,3
2,1,-883.24,-7.0431,391.268,1
2,1,-883.162,-7.04529,391.346,1
2,1,-1004.1,-615.396,672.161,2
3,1,-1282.56,60.1007,60.6459,2
5,1,-1161.47,-495.933,508.639,2
MIN,1754.28
PTS,43
FGM,11
FGA,15
3PM,6
3PA,8
FTM,3
FTA,3
REB,6
AST,6
STL,0
BLK,4
TOV,1
PLM,44
---All data saved. Voila!---
Heat vs Pacers
