20180727-17-25
2,1,1273.88,6.21693,0,2
3,1,1236.61,53.8731,65.8317,2
2,1,1274.61,0.409864,0,2
3,1,1289.49,-46.6694,49.0356,2
8,0,1021.81,-596.072,647.4,2
1,1,1228.87,-440.848,443.198,2
2,1,1262.39,-555.31,555.441,2
8,0,789.145,-466.089,672.871,2
3,0,1124.16,-110.496,186.537,2
3,1,1276.83,-58.7406,58.7889,2
2,1,1290.15,640.12,640.313,3
3,0,1039.03,178.159,295.23,2
1,1,897.743,585.168,695.936,3
MIN,1813.78
PTS,20
FGM,7
FGA,11
3PM,2
3PA,2
FTM,0
FTA,0
REB,10
AST,11
STL,1
BLK,1
TOV,2
PLM,21
---All data saved. Voila!---
HEAT vs WAS
