20190220-20-30
3,1,1216.27,87.5659,105.127,2
2,1,872.26,8.74454,402.28,1
3,1,1271.59,110.475,110.511,2
2,1,-1354.99,509.245,515.575,2
1,1,-1139.32,-27.8767,137.97,2
2,1,-1194.03,-4.67252,80.5517,2
2,1,-1122.82,642.82,660.46,3
2,1,1271.64,8.43928,0,2
2,1,-1223.22,-1.6189,51.2547,2
2,1,-1176.07,-355.91,369.257,2
2,1,1273.98,-9.76134,0,2
2,1,500.063,-175.781,794.082,2
MIN,1886
PTS,24
FGM,10
FGA,10
3PM,1
3PA,1
FTM,1
FTA,1
REB,4
AST,8
STL,1
BLK,6
TOV,1
PLM,18
---All data saved. Voila!---
Heat vs Knicks
