20180730-20-02
7,0,1134.25,655.748,670.568,3
2,1,908.133,250.236,443.624,2
2,1,1270.21,-7.11295,0,2
2,1,1033.4,-466.976,525.52,2
8,0,1052.11,-457.137,508.339,2
3,1,1234.94,-55.1791,67.8609,2
2,1,1226.06,0.651989,48.3938,2
2,1,873.065,10.3708,401.514,1
3,0,1288.34,105.288,106.2,2
2,1,1292.29,-633.724,633.975,3
2,1,1223.75,0.352023,50.6963,2
8,0,1349.34,639.355,643.728,3
MIN,1378.45
PTS,16
FGM,6
FGA,8
3PM,1
3PA,3
FTM,1
FTA,1
REB,3
AST,4
STL,2
BLK,2
TOV,2
PLM,7
---All data saved. Voila!---
HEAT vs ATL
