20181203-20-38
2,1,707.063,440.042,718.025,3
2,1,1294.7,275.331,276.075,2
2,1,1265.81,6.31397,0,2
3,1,1251.33,-98.9836,101.648,2
2,1,-958.701,-622.86,698.318,3
3,0,-1158.18,-97.6946,151.86,2
1,1,-1266.22,-641.064,641.117,3
2,1,1267.74,-3.62835,0,2
2,1,1268.95,-7.7636,0,2
1,1,-866.488,578.608,707.966,3
2,1,-1224.12,10.0297,51.3134,2
1,1,-1117.89,8.87438,156.804,2
2,1,-822.713,-534.135,699.545,3
MIN,1793.25
PTS,29
FGM,7
FGA,8
3PM,5
3PA,5
FTM,0
FTA,0
REB,8
AST,6
STL,0
BLK,16
TOV,1
PLM,45
---All data saved. Voila!---
Heat vs Raptors
